# crocodeel version: 1.2.1 | rf_model: crocodeel_rf_Feb2026_2.joblib | hostname: ggautreau | username: ggautreau | datetime: 2026-05-01T12:16:22 | species_ab_table: species_abundance.tsv | filtering_ab_thr_factor: None | probability_cutoff: 0.5 | rate_cutoff: 0.0
source	target	rate	probability	contamination_specific_species
ERS848732	ERS848674	7.54e-01	0.78	msp_0003,msp_0012,msp_0021,msp_0022,msp_0031,msp_0046,msp_0058,msp_0068,msp_0069,msp_0076,msp_0079,msp_0090,msp_0098,msp_0111,msp_0141,msp_0145,msp_0166,msp_0202,msp_0204,msp_0232,msp_0436,msp_0650,msp_0769,msp_0832,msp_0853c,msp_0864,msp_0881,msp_0898,msp_0903,msp_0906,msp_0986,msp_1028c,msp_1128,msp_1143,msp_1234,msp_1340,msp_1418c,msp_1643c
ERS848674	ERS848732	7.16e-01	0.87	msp_0005,msp_0007,msp_0009,msp_0010,msp_0011,msp_0029,msp_0044,msp_0049,msp_0054,msp_0066,msp_0072,msp_0086,msp_0110,msp_0128,msp_0131,msp_0132,msp_0146c,msp_0153,msp_0174,msp_0196,msp_0208,msp_0213,msp_0254,msp_0258,msp_0278,msp_0289,msp_0313,msp_0318,msp_0326,msp_0346,msp_0380,msp_0381,msp_0429,msp_0437c,msp_0454,msp_0478,msp_0506,msp_0510,msp_0573,msp_0655,msp_0705,msp_0713,msp_0805,msp_0820,msp_0883,msp_0974c,msp_1156,msp_1193,msp_1219,msp_1236,msp_1244,msp_1327,msp_1349,msp_1397c,msp_1543,msp_1599,msp_1702,msp_1729,msp_1748
ERS848644	ERS848687	4.49e-01	0.81	msp_0005,msp_0009,msp_0010,msp_0014,msp_0024,msp_0025,msp_0041,msp_0049,msp_0053,msp_0055,msp_0056,msp_0060,msp_0079,msp_0125,msp_0144,msp_0153,msp_0172,msp_0242,msp_0262,msp_0271,msp_0276,msp_0314,msp_0372,msp_0374,msp_0379,msp_0381,msp_0401,msp_0409,msp_0454,msp_0522,msp_0534,msp_0536,msp_0546,msp_0560,msp_0565,msp_0591,msp_0612,msp_0647,msp_0654,msp_0677c,msp_0685,msp_0737,msp_0757,msp_0761,msp_0772,msp_0779,msp_0781,msp_0818,msp_0853c,msp_0854,msp_0881,msp_0939,msp_0947,msp_0959,msp_0974c,msp_1016,msp_1049,msp_1103,msp_1126,msp_1132,msp_1156,msp_1171,msp_1177,msp_1193,msp_1215,msp_1234,msp_1238,msp_1252,msp_1279,msp_1292,msp_1315,msp_1356,msp_1361,msp_1362,msp_1372,msp_1381,msp_1397c,msp_1415,msp_1485,msp_1541,msp_1545,msp_1556,msp_1562,msp_1570,msp_1587,msp_1600,msp_1621,msp_1644,msp_1649,msp_1655c,msp_1671c,msp_1723,msp_1724,msp_1877,msp_1970
ERS848687	ERS848644	3.62e-01	0.93	msp_0007,msp_0013,msp_0015,msp_0027,msp_0045,msp_0050,msp_0058,msp_0068,msp_0103,msp_0107,msp_0110,msp_0134,msp_0141,msp_0152,msp_0154,msp_0160,msp_0162,msp_0166,msp_0179,msp_0188,msp_0203,msp_0208,msp_0258,msp_0275,msp_0280,msp_0285,msp_0301,msp_0337,msp_0345,msp_0364,msp_0380,msp_0384,msp_0388,msp_0389,msp_0391,msp_0431,msp_0436,msp_0449,msp_0479,msp_0484,msp_0506,msp_0509,msp_0530,msp_0542,msp_0551,msp_0558,msp_0563,msp_0572,msp_0581,msp_0604,msp_0621,msp_0648,msp_0722,msp_0766,msp_0817,msp_0883,msp_0887,msp_0930,msp_0931,msp_1028c,msp_1063c,msp_1100,msp_1127,msp_1236,msp_1244,msp_1327,msp_1353,msp_1403,msp_1453,msp_1492,msp_1608c,msp_1643c
ERS848654	ERS848662	1.01e-02	1.0	msp_0010,msp_0025,msp_0028,msp_0032,msp_0052,msp_0053,msp_0054,msp_0059,msp_0129,msp_0143,msp_0144,msp_0147,msp_0155,msp_0172,msp_0204,msp_0210,msp_0249,msp_0274,msp_0279,msp_0314,msp_0315,msp_0317,msp_0318,msp_0357,msp_0364,msp_0522,msp_0536,msp_0541,msp_0560,msp_0663,msp_0675,msp_0707,msp_0732,msp_0759,msp_0793,msp_0848,msp_0872,msp_1019,msp_1172,msp_1177,msp_1485,msp_1581,msp_1814
ERS848741	ERS848662	8.30e-03	0.97	msp_0047,msp_0070,msp_0161,msp_0206,msp_0238,msp_0269,msp_0296,msp_0298,msp_0457,msp_0476,msp_0481,msp_0489,msp_0513,msp_0578,msp_0592,msp_0597,msp_0614,msp_0624,msp_0643,msp_0753,msp_0818,msp_0867,msp_0904,msp_0979,msp_0989,msp_1021,msp_1066,msp_1564
ERS848713	ERS848712	7.03e-03	1.0	msp_0007,msp_0011,msp_0012,msp_0013,msp_0015,msp_0016,msp_0017,msp_0023,msp_0027,msp_0029,msp_0035,msp_0048,msp_0054,msp_0057,msp_0069,msp_0079,msp_0107,msp_0110,msp_0126,msp_0152,msp_0154,msp_0166,msp_0172,msp_0213,msp_0227,msp_0258,msp_0271,msp_0280,msp_0285,msp_0309,msp_0324,msp_0337,msp_0342,msp_0346,msp_0356,msp_0388,msp_0389,msp_0436,msp_0468,msp_0484,msp_0506,msp_0509,msp_0510,msp_0571,msp_0572,msp_0621,msp_0630,msp_0769,msp_1012,msp_1236,msp_1252,msp_1362,msp_1377
ERS848716	ERS848715	6.67e-03	1.0	msp_0033,msp_0068,msp_0111,msp_0138,msp_0161,msp_0171,msp_0197,msp_0215,msp_0263,msp_0388,msp_0406,msp_0482,msp_0488,msp_0662,msp_0767,msp_0831,msp_0832,msp_0868,msp_0883,msp_0925,msp_1196,msp_1222
ERS848679	ERS848666	5.41e-03	1.0	msp_0013,msp_0015,msp_0016,msp_0029,msp_0039,msp_0043,msp_0055,msp_0062,msp_0068,msp_0081,msp_0095,msp_0121,msp_0124,msp_0134,msp_0152,msp_0164,msp_0196,msp_0207,msp_0227,msp_0236,msp_0262,msp_0285,msp_0291,msp_0301,msp_0307,msp_0389,msp_0418,msp_0457,msp_0477,msp_0482,msp_0525,msp_0538,msp_0763,msp_0802,msp_0820,msp_0845,msp_0893,msp_0903,msp_0917,msp_0930,msp_0945,msp_1635
ERS848719	ERS848718	4.87e-03	1.0	msp_0003,msp_0017,msp_0035,msp_0041,msp_0045,msp_0059,msp_0062,msp_0068,msp_0079,msp_0084,msp_0124,msp_0148c,msp_0152,msp_0158,msp_0166,msp_0227,msp_0243,msp_0244,msp_0250,msp_0263,msp_0381,msp_0431,msp_0454,msp_0501,msp_0538,msp_0551,msp_0818,msp_0884,msp_1244,msp_1794
ERS848735	ERS848734	4.66e-03	1.0	msp_0003,msp_0020,msp_0025,msp_0030,msp_0052,msp_0061,msp_0075,msp_0094,msp_0107,msp_0174,msp_0236,msp_0271,msp_0277,msp_0326,msp_0335,msp_0460,msp_0507,msp_0780,msp_0906,msp_1284,msp_1419,msp_1751
ERS848619	ERS848632	4.63e-03	1.0	msp_0025,msp_0029,msp_0030,msp_0033,msp_0055,msp_0072,msp_0074,msp_0093,msp_0125,msp_0161,msp_0164,msp_0195,msp_0285,msp_0301,msp_0335,msp_0389,msp_0502,msp_0571,msp_0763
ERS848640	ERS848632	4.34e-03	0.62	msp_0015,msp_0017,msp_0035,msp_0059,msp_0066,msp_0134,msp_0225,msp_0271,msp_0280,msp_0388,msp_0468,msp_0580,msp_1436
ERS848736	ERS848737	3.72e-03	1.0	msp_0015,msp_0016,msp_0023,msp_0026,msp_0029,msp_0031,msp_0036,msp_0043,msp_0055,msp_0068,msp_0071,msp_0072,msp_0114,msp_0124,msp_0125,msp_0126,msp_0152,msp_0175,msp_0195,msp_0225,msp_0258,msp_0259,msp_0285,msp_0293,msp_0301,msp_0326,msp_0331,msp_0345,msp_0356,msp_0374,msp_0378,msp_0388,msp_0389,msp_0429,msp_0456,msp_0464,msp_0477,msp_0484,msp_0592,msp_0763,msp_0820,msp_0874,msp_0893,msp_0898,msp_0903,msp_1021,msp_1091,msp_1158,msp_1674
ERS848618	ERS848645	2.96e-03	1.0	msp_0025,msp_0034,msp_0090,msp_0105,msp_0133,msp_0173,msp_0195,msp_0234,msp_0273,msp_0290,msp_0298,msp_0306,msp_0319,msp_0343,msp_0345,msp_0456,msp_0461,msp_0490,msp_0509,msp_0512,msp_0538,msp_0605,msp_0612,msp_0615,msp_0622,msp_0685,msp_0692,msp_0709,msp_0717,msp_0723,msp_0733,msp_0757,msp_0841,msp_0947,msp_1028c,msp_1033,msp_1043,msp_1047,msp_1054,msp_1138,msp_1211
ERS848654	ERS848649	2.82e-03	1.0	msp_0025,msp_0045,msp_0053,msp_0059,msp_0105,msp_0129,msp_0143,msp_0144,msp_0205,msp_0210,msp_0250,msp_0271,msp_0279,msp_0342,msp_0356,msp_0357,msp_0435,msp_0452,msp_0471,msp_0500,msp_0541,msp_0584,msp_0675,msp_0732,msp_0793,msp_0848,msp_0872,msp_0917,msp_1485
ERS848731	ERS848730	2.81e-03	1.0	msp_0005,msp_0025,msp_0045,msp_0053,msp_0138,msp_0147,msp_0155,msp_0160,msp_0181,msp_0195,msp_0374,msp_0492,msp_0512,msp_0551,msp_0615,msp_0756,msp_0771,msp_0970,msp_1195,msp_1357
