# crocodeel version: 1.2.1 | rf_model: crocodeel_rf_Feb2026_2.joblib | hostname: ggautreau | username: ggautreau | datetime: 2026-05-01T12:16:36 | species_ab_table: species_abundance.tsv | filtering_ab_thr_factor: None | probability_cutoff: 0.5 | rate_cutoff: 0.0
source	target	rate	probability	contamination_specific_species
ERS1066736	ERS1066649	9.76e-03	0.61	msp_0019,msp_0029,msp_0041,msp_0045,msp_0053,msp_0059,msp_0076,msp_0089,msp_0106,msp_0179,msp_0221,msp_0271,msp_0456,msp_0534
ERS1066645	ERS1066689	9.47e-03	1.0	msp_0182,msp_0186,msp_0196,msp_0285,msp_0291,msp_0342,msp_0346,msp_0352,msp_0370,msp_0385,msp_0471,msp_0477,msp_0613,msp_0618,msp_0766,msp_0839,msp_0917,msp_1004,msp_1149,msp_1177,msp_1581,msp_1964
ERS1066665	ERS1066689	9.23e-03	0.56	msp_0054,msp_0109,msp_0111,msp_0188,msp_0233,msp_0591,msp_0745,msp_0868,msp_0906,msp_0933,msp_1123,msp_1604
ERS1066654	ERS1066689	8.61e-03	1.0	msp_0019,msp_0030,msp_0034,msp_0039,msp_0043,msp_0047,msp_0074,msp_0077,msp_0081,msp_0087,msp_0105,msp_0130,msp_0163,msp_0168,msp_0170,msp_0173,msp_0195,msp_0205,msp_0226,msp_0247,msp_0304,msp_0305,msp_0306,msp_0323,msp_0362,msp_0376,msp_0404,msp_0418,msp_0438,msp_0452,msp_0457,msp_0459,msp_0481,msp_0490,msp_0585,msp_0596,msp_0615,msp_0636,msp_0652,msp_0724,msp_0808,msp_0811,msp_0837,msp_0841,msp_0867,msp_0930,msp_0931,msp_1216,msp_1737,msp_1826
ERS1066719	ERS1066692	8.19e-03	0.79	msp_0008,msp_0046,msp_0050,msp_0055,msp_0066,msp_0072,msp_0089,msp_0147,msp_0151,msp_0152,msp_0183,msp_0214,msp_0296,msp_0307,msp_0346,msp_0375,msp_0413,msp_0463,msp_0464,msp_0820,msp_0893,msp_0930,msp_1052
ERS1066689	ERS1066645	8.00e-03	0.9	msp_0013,msp_0017,msp_0045,msp_0050,msp_0059,msp_0069,msp_0093,msp_0178,msp_0202,msp_0222,msp_0225,msp_0227,msp_0243,msp_0277,msp_0380,msp_0407,msp_0507,msp_0572,msp_0623,msp_0639,msp_0733,msp_0742,msp_0785,msp_0898,msp_0946,msp_0986,msp_1349
ERS1066739	ERS1066692	7.75e-03	1.0	msp_0008,msp_0025,msp_0046,msp_0055,msp_0060,msp_0072,msp_0089,msp_0147,msp_0151,msp_0152,msp_0183,msp_0204,msp_0214,msp_0307,msp_0346,msp_0375,msp_0413,msp_0463,msp_0464,msp_0820,msp_0893,msp_0930,msp_1033,msp_1052,msp_1384
ERS1066648	ERS1066689	6.83e-03	0.92	msp_0036,msp_0065,msp_0085,msp_0144,msp_0160,msp_0161,msp_0164,msp_0192,msp_0218,msp_0317,msp_0398,msp_0419,msp_0526,msp_0551,msp_0554,msp_0581,msp_0596,msp_0648,msp_0723,msp_0835,msp_1001,msp_1021,msp_1053,msp_1244
ERS1066678	ERS1066648	5.61e-03	1.0	msp_0019,msp_0020,msp_0022,msp_0026,msp_0031,msp_0040,msp_0052,msp_0066,msp_0183,msp_0195,msp_0199,msp_0201,msp_0210,msp_0226,msp_0254,msp_0268,msp_0280,msp_0455,msp_0479,msp_0625,msp_0642,msp_0690,msp_0706,msp_0827,msp_0933,msp_0946,msp_1044,msp_1831,msp_1873,msp_1902,msp_1964
ERS1066636	ERS1066649	5.42e-03	0.92	msp_0031,msp_0124,msp_0196,msp_0285,msp_0356,msp_0388,msp_0457,msp_0490,msp_0763,msp_0893,msp_1021
ERS1066737	ERS1066671	5.07e-03	1.0	msp_0003,msp_0022,msp_0026,msp_0028,msp_0029,msp_0034,msp_0037,msp_0039,msp_0040,msp_0042,msp_0047,msp_0059,msp_0074,msp_0075,msp_0077,msp_0079,msp_0096,msp_0101,msp_0105,msp_0120,msp_0130,msp_0139,msp_0168,msp_0170,msp_0194,msp_0195,msp_0214,msp_0220,msp_0227,msp_0262,msp_0277,msp_0305,msp_0313,msp_0398,msp_0416,msp_0452,msp_0546,msp_0576,msp_0642,msp_0782,msp_0818,msp_0895,msp_1189,msp_1219,msp_1243,msp_1843
ERS1066673	ERS1066722	4.82e-03	0.79	msp_0036,msp_0037,msp_0040,msp_0043,msp_0045,msp_0048,msp_0053,msp_0087,msp_0175,msp_0221,msp_0227,msp_0262,msp_0293,msp_0296,msp_0357,msp_0384,msp_0463,msp_0594,msp_0646,msp_0648,msp_1088
ERS1066658	ERS1066703	4.43e-03	1.0	msp_0036,msp_0045,msp_0081,msp_0087,msp_0136,msp_0169,msp_0190,msp_0195,msp_0220,msp_0223,msp_0250,msp_0261,msp_0271,msp_0272,msp_0277,msp_0290,msp_0304,msp_0305,msp_0348,msp_0359,msp_0376,msp_0420,msp_0433,msp_0450,msp_0451,msp_0493,msp_0512,msp_0521,msp_0599,msp_0615,msp_0617,msp_0676,msp_0685,msp_0717,msp_0729,msp_0888,msp_0993,msp_1027,msp_1031,msp_1043,msp_1110,msp_1170,msp_1211,msp_1314,msp_1555c,msp_1744
ERS1066700	ERS1066738	3.99e-03	1.0	msp_0007,msp_0013,msp_0015,msp_0029,msp_0055,msp_0065,msp_0077,msp_0105,msp_0125,msp_0160,msp_0164,msp_0219,msp_0225,msp_0250,msp_0337,msp_0345,msp_0418,msp_0474,msp_0489,msp_0530,msp_0551,msp_0590,msp_0622,msp_0756,msp_0763,msp_0794,msp_0946
ERS1066646	ERS1066738	3.32e-03	0.93	msp_0007,msp_0029,msp_0055,msp_0077,msp_0105,msp_0125,msp_0164,msp_0219,msp_0225,msp_0345,msp_0418,msp_0474,msp_0477,msp_0590,msp_0622,msp_0763,msp_0946
ERS1066647	ERS1066667	3.20e-03	1.0	msp_0029,msp_0034,msp_0039,msp_0041,msp_0042,msp_0047,msp_0075,msp_0093,msp_0095,msp_0106,msp_0124,msp_0128,msp_0144,msp_0168,msp_0194,msp_0205,msp_0212,msp_0262,msp_0285,msp_0291,msp_0306,msp_0312,msp_0346,msp_0348,msp_0357,msp_0398,msp_0407,msp_0414,msp_0452,msp_0477,msp_0481,msp_0484,msp_0490,msp_0498,msp_0534,msp_0592,msp_0596,msp_0763,msp_0777,msp_0841,msp_0860,msp_0893,msp_0959
ERS1066729	ERS1066688	2.80e-03	1.0	msp_0017,msp_0034,msp_0035,msp_0047,msp_0079,msp_0095,msp_0160,msp_0184,msp_0205,msp_0207,msp_0220,msp_0222,msp_0258,msp_0286,msp_0306,msp_0404,msp_0419,msp_0490,msp_0674,msp_0709,msp_0733,msp_0753,msp_0782,msp_0795,msp_1024
ERS1066709	ERS1066666	2.78e-03	0.98	msp_0005,msp_0017,msp_0019,msp_0027,msp_0030,msp_0060,msp_0129,msp_0131,msp_0182,msp_0220,msp_0232,msp_0246,msp_0254,msp_0334,msp_0346,msp_0468,msp_0594,msp_0634,msp_0639,msp_0735,msp_1070,msp_1530c,msp_1964
ERS1066689	ERS1066654	2.70e-03	0.52	msp_0013,msp_0025,msp_0202,msp_0204,msp_0222,msp_0230,msp_0277,msp_0407,msp_0545,msp_0623,msp_0733,msp_0946
ERS1066710	ERS1066640	2.63e-03	1.0	msp_0022,msp_0023,msp_0027,msp_0034,msp_0040,msp_0041,msp_0042,msp_0059,msp_0062,msp_0065,msp_0081,msp_0134,msp_0144,msp_0173,msp_0178,msp_0194,msp_0196,msp_0205,msp_0206,msp_0225,msp_0236,msp_0243,msp_0250,msp_0263,msp_0280,msp_0301,msp_0302,msp_0306,msp_0312,msp_0322,msp_0353,msp_0357,msp_0388,msp_0404,msp_0457,msp_0475,msp_0484,msp_0554,msp_0578,msp_0592,msp_0596,msp_0709,msp_0747,msp_0796,msp_0800,msp_0808,msp_0819,msp_0820,msp_0879,msp_0903,msp_0917,msp_1244
ERS1066665	ERS1066657	2.54e-03	0.82	msp_0010,msp_0054,msp_0058,msp_0066,msp_0086,msp_0110,msp_0131,msp_0152,msp_0171,msp_0204,msp_0233,msp_0868,msp_0906,msp_0933
ERS1066730	ERS1066667	2.40e-03	1.0	msp_0016,msp_0033,msp_0043,msp_0074,msp_0139,msp_0163,msp_0170,msp_0246,msp_0258,msp_0261,msp_0280,msp_0388,msp_0475,msp_0616,msp_0639,msp_0733,msp_0794,msp_0906,msp_1193,msp_1622,msp_1679
ERS1066642	ERS1066701	2.36e-03	1.0	msp_0015,msp_0042,msp_0047,msp_0048,msp_0064,msp_0072,msp_0087,msp_0093,msp_0095,msp_0105,msp_0161,msp_0164,msp_0190,msp_0229,msp_0247,msp_0258,msp_0281,msp_0306,msp_0374,msp_0399,msp_0412,msp_0484,msp_0490,msp_0538,msp_0612,msp_0639,msp_0694,msp_0763,msp_0804,msp_0841,msp_0917,msp_0937,msp_0995,msp_1111,msp_1127
ERS1066684	ERS1066682	2.35e-03	0.98	msp_0008,msp_0019,msp_0027,msp_0041,msp_0045,msp_0053,msp_0060,msp_0064,msp_0077,msp_0081,msp_0125,msp_0157,msp_0206,msp_0250,msp_0265,msp_0269,msp_0273,msp_0280,msp_0348,msp_0367,msp_0387,msp_0388,msp_0420,msp_0426,msp_0480,msp_0484,msp_0498,msp_0534,msp_0535,msp_0608,msp_0642,msp_0733,msp_0777,msp_0800,msp_0830,msp_0867,msp_1102,msp_1273,msp_1575,msp_1988,msp_2014
ERS1066642	ERS1066653	2.27e-03	0.98	msp_0013,msp_0015,msp_0029,msp_0031,msp_0042,msp_0047,msp_0064,msp_0072,msp_0087,msp_0093,msp_0095,msp_0164,msp_0178,msp_0247,msp_0258,msp_0280,msp_0374,msp_0388,msp_0399,msp_0416,msp_0484,msp_0538,msp_0612,msp_0639,msp_0694,msp_1453
ERS1066648	ERS1066678	2.05e-03	0.93	msp_0013,msp_0025,msp_0034,msp_0065,msp_0144,msp_0160,msp_0166,msp_0192,msp_0263,msp_0398,msp_0512,msp_0584,msp_0648,msp_0723,msp_0893
ERS1066729	ERS1066648	1.98e-03	0.96	msp_0047,msp_0095,msp_0105,msp_0130,msp_0168,msp_0184,msp_0205,msp_0207,msp_0271,msp_0286,msp_0306,msp_0674,msp_0709,msp_0782,msp_0795,msp_1024
ERS1066648	ERS1066665	1.96e-03	0.54	msp_0036,msp_0144,msp_0160,msp_0212,msp_0263,msp_0398,msp_0512,msp_0554,msp_0584,msp_0648,msp_0723,msp_0835
ERS1066669	ERS1066681	1.94e-03	1.0	msp_0013,msp_0025,msp_0026,msp_0037,msp_0041,msp_0057,msp_0092,msp_0160,msp_0170,msp_0178,msp_0199,msp_0258,msp_0263,msp_0275,msp_0281,msp_0290,msp_0304,msp_0327,msp_0357,msp_0503,msp_0538,msp_0617,msp_0639,msp_0694,msp_0756,msp_0872,msp_1129,msp_1769
ERS1066664	ERS1066655	1.94e-03	1.0	msp_0003,msp_0016,msp_0017,msp_0029,msp_0031,msp_0045,msp_0053,msp_0062,msp_0072,msp_0075,msp_0087,msp_0090,msp_0121,msp_0125,msp_0152,msp_0203,msp_0208,msp_0210,msp_0250,msp_0277,msp_0375,msp_0436,msp_0452,msp_0468,msp_0551
ERS1066701	ERS1066680	1.73e-03	0.5	msp_0009,msp_0016,msp_0057,msp_0058,msp_0126,msp_0129,msp_0131,msp_0147,msp_0153,msp_0178,msp_0221,msp_0233,msp_0242,msp_0263,msp_0315,msp_0334,msp_0384
ERS1066678	ERS1066645	1.60e-03	0.65	msp_0019,msp_0020,msp_0022,msp_0031,msp_0040,msp_0183,msp_0254,msp_0455,msp_0625,msp_0642,msp_0827,msp_1044,msp_1873
ERS1066663	ERS1066694	1.54e-03	1.0	msp_0016,msp_0034,msp_0053,msp_0059,msp_0064,msp_0077,msp_0105,msp_0114,msp_0179,msp_0192,msp_0195,msp_0199,msp_0206,msp_0286,msp_0306,msp_0312,msp_0327,msp_0377,msp_0452,msp_0453,msp_0538,msp_0578,msp_0698,msp_0777,msp_1102,msp_1189,msp_1826
ERS1066713	ERS1066641	1.53e-03	0.62	msp_0017,msp_0020,msp_0023,msp_0031,msp_0040,msp_0049,msp_0059,msp_0105,msp_0111,msp_0196,msp_0204,msp_0221,msp_0280,msp_0538
ERS1066654	ERS1066665	1.43e-03	0.58	msp_0019,msp_0039,msp_0047,msp_0055,msp_0074,msp_0081,msp_0130,msp_0205,msp_0304,msp_0376,msp_0438,msp_0481,msp_1737
ERS1066707	ERS1066688	1.42e-03	0.98	msp_0039,msp_0041,msp_0042,msp_0081,msp_0133,msp_0190,msp_0199,msp_0261,msp_0282,msp_0300,msp_0414,msp_0538,msp_0948
ERS1066637	ERS1066636	1.36e-03	0.89	msp_0015,msp_0035,msp_0047,msp_0074,msp_0081,msp_0161,msp_0166,msp_0238,msp_0277,msp_0325,msp_0337,msp_0586,msp_0757
ERS1066648	ERS1066645	1.23e-03	0.83	msp_0036,msp_0065,msp_0144,msp_0160,msp_0192,msp_0212,msp_0263,msp_0312,msp_0398,msp_0419,msp_0584
ERS1066707	ERS1066679	1.18e-03	1.0	msp_0041,msp_0042,msp_0081,msp_0087,msp_0105,msp_0152,msp_0160,msp_0195,msp_0199,msp_0261,msp_0271,msp_0300,msp_0414,msp_0538,msp_0948
