# crocodeel version: 1.2.1 | rf_model: crocodeel_rf_Feb2026_2.joblib | hostname: ggautreau | username: ggautreau | datetime: 2026-05-02T18:11:19 | species_ab_table: species_abundance.tsv | filtering_ab_thr_factor: None | probability_cutoff: 0.5 | rate_cutoff: 0.0
source	target	rate	probability	contamination_specific_species
ERS4277483	ERS4277400	7.94e-01	0.93	msp_0015,msp_0020,msp_0023,msp_0046,msp_0066,msp_0090,msp_0175,msp_0177,msp_0188,msp_0382,msp_0388,msp_0408,msp_0422,msp_0435,msp_0478,msp_0500,msp_0537,msp_0627,msp_0735,msp_0766,msp_0852,msp_0861,msp_0883,msp_0906,msp_1060c,msp_1265,msp_1349,msp_1381,msp_1515,msp_1837
ERS4277450	ERS4277286	7.13e-01	0.5	msp_0011,msp_0041,msp_0048,msp_0454,msp_0468,msp_0621,msp_0930,msp_1114,msp_1349,msp_1404
ERS4277379	ERS4277462	6.92e-01	0.97	msp_0007,msp_0009,msp_0012,msp_0015,msp_0019,msp_0021,msp_0023,msp_0058,msp_0059,msp_0062,msp_0069,msp_0086,msp_0110,msp_0114,msp_0141,msp_0142,msp_0148c,msp_0154,msp_0164,msp_0194,msp_0213,msp_0259,msp_0271,msp_0299,msp_0301,msp_0346,msp_0356,msp_0364,msp_0374,msp_0389,msp_0422,msp_0468,msp_0477,msp_0478,msp_0623,msp_0742,msp_0768,msp_0820,msp_0986,msp_1173c,msp_1279,msp_1291,msp_1339,msp_1641,msp_0166,msp_0380,msp_2357,msp_2495
ERS4277378	ERS4277461	6.75e-01	0.61	msp_0012,msp_0017,msp_0032,msp_0043,msp_0069,msp_0076,msp_0090,msp_0092,msp_0110,msp_0154,msp_0196,msp_0199,msp_0208,msp_0244,msp_0263,msp_0301,msp_0331,msp_0374,msp_0389,msp_0436,msp_0572,msp_0656,msp_0742,msp_0852,msp_0977,msp_1236,msp_1244,msp_1349,msp_1558,msp_0026,msp_0166
ERS4277392	ERS4277475	6.70e-01	0.52	msp_0007,msp_0022,msp_0027,msp_0036,msp_0046,msp_0058,msp_0062,msp_0086,msp_0089,msp_0108,msp_0110,msp_0145,msp_0182,msp_0188,msp_0200,msp_0254,msp_0259,msp_0287,msp_0335,msp_0346,msp_0381,msp_0412,msp_0479,msp_0572,msp_0573,msp_0633,msp_0713,msp_0791,msp_0986,msp_1114,msp_1279,msp_1511c,msp_1891,msp_1603c,msp_2357
ERS4277358	ERS4277276	6.64e-01	0.98	msp_0005,msp_0007,msp_0010,msp_0014,msp_0019,msp_0021,msp_0031,msp_0035,msp_0046,msp_0059,msp_0061,msp_0065,msp_0069,msp_0072,msp_0075,msp_0098,msp_0112,msp_0125,msp_0141,msp_0147,msp_0153,msp_0188,msp_0196,msp_0225,msp_0244,msp_0258,msp_0259,msp_0291,msp_0299,msp_0308,msp_0314,msp_0317,msp_0374,msp_0409,msp_0419,msp_0425,msp_0436,msp_0477,msp_0506,msp_0522,msp_0530,msp_0554,msp_0562,msp_0565,msp_0621,msp_0719,msp_0769,msp_0877,msp_0883,msp_0930,msp_1084,msp_1143,msp_1238,msp_1279,msp_1315,msp_1349,msp_1356,msp_1397c,msp_1403,msp_1541,msp_1556,msp_1641,msp_1649,msp_1724,msp_1938,msp_0166,msp_0212,msp_0833,msp_2379
ERS4277306	ERS4277388	6.51e-01	0.95	msp_0007,msp_0012,msp_0015,msp_0021,msp_0031,msp_0032,msp_0046,msp_0052,msp_0061,msp_0062,msp_0069,msp_0089,msp_0126,msp_0129,msp_0132,msp_0141,msp_0186,msp_0202,msp_0213,msp_0215,msp_0249,msp_0263,msp_0282,msp_0287,msp_0315,msp_0318,msp_0331,msp_0342,msp_0356,msp_0374,msp_0422,msp_0522,msp_0554,msp_0671,msp_0697,msp_0740,msp_0816c,msp_0861,msp_0946,msp_0977,msp_1012,msp_1236,msp_1349,msp_1541,msp_1556,msp_1672,msp_1684,msp_1724
ERS4277345	ERS4277427	6.45e-01	0.51	msp_0014,msp_0016,msp_0023,msp_0040,msp_0044,msp_0046,msp_0048,msp_0069,msp_0079,msp_0125,msp_0138,msp_0145,msp_0207,msp_0236,msp_0280,msp_0301,msp_0325,msp_0346,msp_0360,msp_0364,msp_0374,msp_0388,msp_0389,msp_0436,msp_0449,msp_0457,msp_0478,msp_0573,msp_0591,msp_0742,msp_0769,msp_0851,msp_0898,msp_1012,msp_1060c,msp_1312,msp_1356,msp_1461,msp_1473c,msp_1515,msp_1590c,msp_1641,msp_0026,msp_0380
ERS4277414	ERS4277497	6.31e-01	0.83	msp_0011,msp_0014,msp_0040,msp_0056,msp_0058,msp_0063,msp_0103,msp_0124,msp_0126,msp_0139,msp_0185,msp_0188,msp_0208,msp_0249,msp_0263,msp_0280,msp_0291,msp_0379,msp_0457,msp_0475,msp_0477,msp_0478,msp_0509,msp_0538,msp_0621,msp_0655,msp_0713,msp_0772,msp_0800,msp_0802,msp_0840,msp_0874,msp_0898,msp_0970,msp_1009,msp_1078,msp_1177,msp_1219,msp_1291,msp_1293,msp_1349,msp_1461,msp_1556,msp_1724,msp_0166
ERS4277454	ERS4277371	6.25e-01	0.79	msp_0015,msp_0016,msp_0023,msp_0031,msp_0035,msp_0055,msp_0057,msp_0068,msp_0072,msp_0075,msp_0087,msp_0125,msp_0126,msp_0133,msp_0185,msp_0202,msp_0236,msp_0258,msp_0291,msp_0296,msp_0301,msp_0374,msp_0388,msp_0389,msp_0468,msp_0473c,msp_0480,msp_0518,msp_0554,msp_0591,msp_0654,msp_0670,msp_0705,msp_0722,msp_0763,msp_0769,msp_0820,msp_0881,msp_0893,msp_0898,msp_0906,msp_0930,msp_1069,msp_1279,msp_1339,msp_1349,msp_1428,msp_1461,msp_1453
