# crocodeel version: 1.2.1 | rf_model: crocodeel_rf_Feb2026_2.joblib | hostname: ggautreau | username: ggautreau | datetime: 2026-05-01T12:41:25 | species_ab_table: species_abundance.tsv | filtering_ab_thr_factor: None | probability_cutoff: 0.5 | rate_cutoff: 0.0
source	target	rate	probability	contamination_specific_species
ERS475179_ERS475180	ERS475251	9.38e-01	0.79	msp_0007,msp_0013,msp_0015,msp_0016,msp_0023,msp_0025,msp_0029,msp_0033,msp_0039,msp_0048,msp_0054,msp_0057,msp_0059,msp_0062,msp_0068,msp_0069,msp_0072,msp_0076,msp_0079,msp_0088,msp_0094,msp_0103,msp_0107,msp_0108,msp_0125,msp_0126,msp_0134,msp_0138,msp_0141,msp_0151,msp_0152,msp_0161,msp_0162,msp_0163,msp_0164,msp_0172,msp_0175,msp_0178,msp_0188,msp_0189,msp_0198,msp_0208,msp_0236,msp_0250,msp_0259,msp_0278,msp_0291,msp_0337,msp_0340,msp_0436,msp_0468,msp_0473c,msp_0507,msp_0522,msp_0542,msp_0551,msp_0558,msp_0572,msp_0581,msp_0619,msp_0674,msp_0709,msp_0930,msp_0961,msp_0979,msp_0986,msp_1093,msp_1236,msp_1244,msp_1340,msp_1463,msp_1533,msp_1641,msp_1643c,msp_1737,msp_1892
ERS475251	ERS475179_ERS475180	8.98e-01	1.0	msp_0003,msp_0005,msp_0011,msp_0012,msp_0021,msp_0024,msp_0026,msp_0027,msp_0031,msp_0032,msp_0041,msp_0045,msp_0046,msp_0050,msp_0055,msp_0056,msp_0060,msp_0071,msp_0075,msp_0090,msp_0109,msp_0110,msp_0121,msp_0124,msp_0131,msp_0142,msp_0145,msp_0147,msp_0154,msp_0156,msp_0196,msp_0199,msp_0209,msp_0213,msp_0231,msp_0249,msp_0258,msp_0299,msp_0301,msp_0307,msp_0308,msp_0313,msp_0318,msp_0322,msp_0325,msp_0331,msp_0342,msp_0345,msp_0346,msp_0360,msp_0364,msp_0374,msp_0375,msp_0386,msp_0388,msp_0389,msp_0409,msp_0456,msp_0460,msp_0464,msp_0477,msp_0478,msp_0484,msp_0506,msp_0509,msp_0530,msp_0559,msp_0563,msp_0573,msp_0576,msp_0591,msp_0621,msp_0622,msp_0650,msp_0664,msp_0692,msp_0693,msp_0705,msp_0712,msp_0713,msp_0722,msp_0763,msp_0769,msp_0780,msp_0785,msp_0820,msp_0833,msp_0861,msp_0893,msp_0898,msp_0906,msp_0908,msp_0945,msp_1143,msp_1171,msp_1173c,msp_1291,msp_1323,msp_1356,msp_1381,msp_1556,msp_1578c,msp_1700,msp_1724
ERS475165	ERS475344_ERS475345	8.80e-01	1.0	msp_0007,msp_0011,msp_0016,msp_0023,msp_0029,msp_0040,msp_0066,msp_0075,msp_0076,msp_0077,msp_0079,msp_0090,msp_0107,msp_0125,msp_0141,msp_0142,msp_0146c,msp_0148c,msp_0152,msp_0163,msp_0164,msp_0188,msp_0208,msp_0212,msp_0246,msp_0254,msp_0313,msp_0338,msp_0346,msp_0374,msp_0380,msp_0403,msp_0422,msp_0446c,msp_0456,msp_0468,msp_0506,msp_0510,msp_0572,msp_0610,msp_0655,msp_0671,msp_0712,msp_0739c,msp_0742,msp_0792,msp_0833,msp_0853c,msp_0881,msp_0884,msp_0898,msp_0925,msp_1006,msp_1127,msp_1156,msp_1219,msp_1279,msp_1325,msp_1418c,msp_1453,msp_1543,msp_1702,msp_1748,msp_1786,msp_1788,msp_1793,msp_1799,msp_1838
ERS475125	ERS475114_ERS475115	7.75e-01	1.0	msp_0015,msp_0017,msp_0029,msp_0040,msp_0043,msp_0048,msp_0055,msp_0068,msp_0071,msp_0072,msp_0075,msp_0077,msp_0079,msp_0093,msp_0103,msp_0161,msp_0175,msp_0188,msp_0194,msp_0215,msp_0227,msp_0301,msp_0362,msp_0373,msp_0374,msp_0380,msp_0388,msp_0389,msp_0433,msp_0441,msp_0454,msp_0484,msp_0542,msp_0546,msp_0578,msp_0591,msp_0705,msp_0713,msp_0757,msp_0780,msp_0820,msp_0879,msp_0881,msp_0893,msp_0906,msp_0930,msp_0961,msp_1042,msp_1069,msp_1139,msp_1185,msp_1236,msp_1290,msp_1351,msp_1362,msp_1543,msp_1622,msp_1641
ERS475415	ERS475273	7.60e-01	0.54	msp_0003,msp_0005,msp_0007,msp_0008,msp_0011,msp_0016,msp_0017,msp_0021,msp_0022,msp_0023,msp_0028,msp_0029,msp_0032,msp_0036,msp_0037,msp_0039,msp_0043,msp_0046,msp_0048,msp_0054,msp_0069,msp_0071,msp_0075,msp_0077,msp_0087,msp_0089,msp_0090,msp_0107,msp_0110,msp_0128,msp_0131,msp_0152,msp_0164,msp_0172,msp_0196,msp_0208,msp_0225,msp_0258,msp_0259,msp_0307,msp_0324,msp_0338,msp_0339,msp_0385,msp_0386,msp_0436,msp_0446c,msp_0454,msp_0468,msp_0477,msp_0506,msp_0530,msp_0563,msp_0572,msp_0576,msp_0591,msp_0604,msp_0780,msp_0945,msp_0947,msp_1127,msp_1139,msp_1323,msp_1353,msp_1404,msp_1412,msp_1473c
ERS475210_ERS475211	ERS475231	7.15e-01	0.99	msp_0007,msp_0008,msp_0010,msp_0011,msp_0017,msp_0021,msp_0023,msp_0028,msp_0029,msp_0031,msp_0032,msp_0036,msp_0039,msp_0042,msp_0046,msp_0055,msp_0058,msp_0059,msp_0062,msp_0066,msp_0069,msp_0092,msp_0095,msp_0105,msp_0111,msp_0124,msp_0126,msp_0128,msp_0129,msp_0134,msp_0145,msp_0152,msp_0158,msp_0160,msp_0162,msp_0164,msp_0171,msp_0186,msp_0203,msp_0246,msp_0259,msp_0287,msp_0316,msp_0318,msp_0325,msp_0338,msp_0339,msp_0363,msp_0380,msp_0422,msp_0456,msp_0478,msp_0510,msp_0538,msp_0591,msp_0604,msp_0621,msp_0709,msp_0740,msp_0817,msp_0860,msp_1173c,msp_1256,msp_1724,msp_1881
ERS475273	ERS475415	6.92e-01	0.93	msp_0010,msp_0012,msp_0015,msp_0025,msp_0026,msp_0027,msp_0030,msp_0033,msp_0034,msp_0035,msp_0040,msp_0041,msp_0050,msp_0055,msp_0058,msp_0068,msp_0072,msp_0076,msp_0079,msp_0081,msp_0086,msp_0092,msp_0103,msp_0121,msp_0125,msp_0134,msp_0138,msp_0139,msp_0141,msp_0142,msp_0148c,msp_0154,msp_0162,msp_0166,msp_0188,msp_0194,msp_0202,msp_0236,msp_0243,msp_0244,msp_0299,msp_0301,msp_0313,msp_0337,msp_0346,msp_0374,msp_0378,msp_0380,msp_0388,msp_0389,msp_0396,msp_0431,msp_0456,msp_0457,msp_0464,msp_0473c,msp_0509,msp_0542,msp_0551,msp_0570,msp_0621,msp_0648,msp_0650,msp_0655,msp_0693,msp_0705,msp_0722,msp_0742,msp_0763,msp_0767,msp_0769,msp_0820,msp_0832,msp_0874,msp_0881,msp_0884,msp_0893,msp_0898,msp_0903,msp_0930,msp_0986,msp_1128,msp_1143,msp_1185,msp_1244,msp_1279,msp_1329,msp_1341,msp_1453,msp_1476,msp_1492,msp_1533,msp_1543,msp_1556,msp_1599,msp_1608c,msp_1622,msp_1641
ERS475114_ERS475115	ERS475125	6.24e-01	1.0	msp_0003,msp_0005,msp_0007,msp_0009,msp_0010,msp_0011,msp_0012,msp_0013,msp_0021,msp_0022,msp_0024,msp_0032,msp_0034,msp_0035,msp_0037,msp_0039,msp_0045,msp_0046,msp_0050,msp_0056,msp_0058,msp_0060,msp_0062,msp_0069,msp_0076,msp_0086,msp_0090,msp_0095,msp_0107,msp_0109,msp_0110,msp_0121,msp_0124,msp_0125,msp_0126,msp_0131,msp_0141,msp_0142,msp_0152,msp_0153,msp_0154,msp_0156,msp_0162,msp_0163,msp_0164,msp_0172,msp_0178,msp_0186,msp_0189,msp_0200,msp_0202,msp_0208,msp_0209,msp_0213,msp_0236,msp_0239,msp_0244,msp_0249,msp_0258,msp_0259,msp_0262,msp_0275,msp_0285,msp_0302,msp_0305,msp_0307,msp_0318,msp_0331,msp_0337,msp_0342,msp_0346,msp_0356,msp_0357,msp_0360,msp_0364,msp_0378,msp_0396,msp_0419,msp_0422,msp_0425,msp_0436,msp_0456,msp_0464,msp_0468,msp_0477,msp_0478,msp_0506,msp_0522,msp_0558,msp_0562,msp_0563,msp_0572,msp_0573,msp_0576,msp_0581,msp_0584,msp_0621,msp_0722,msp_0733,msp_0763,msp_0769,msp_0818,msp_0833,msp_0848,msp_0860,msp_0861,msp_0865,msp_0898,msp_0903,msp_0908,msp_0945,msp_0988,msp_1173c,msp_1209,msp_1264c,msp_1279,msp_1339,msp_1349,msp_1381,msp_1473c,msp_1599,msp_1862
ERS475193	ERS475194	5.55e-01	0.86	msp_0010,msp_0011,msp_0012,msp_0015,msp_0028,msp_0031,msp_0035,msp_0036,msp_0040,msp_0048,msp_0054,msp_0055,msp_0056,msp_0058,msp_0063,msp_0069,msp_0076,msp_0079,msp_0088,msp_0090,msp_0103,msp_0138,msp_0141,msp_0142,msp_0145,msp_0146c,msp_0147,msp_0152,msp_0161,msp_0166,msp_0184,msp_0186,msp_0188,msp_0225,msp_0231,msp_0236,msp_0239,msp_0279,msp_0287,msp_0290,msp_0307,msp_0313,msp_0316,msp_0326,msp_0337,msp_0342,msp_0353,msp_0422,msp_0454,msp_0471,msp_0478,msp_0497,msp_0507,msp_0581,msp_0639,msp_0655,msp_0674,msp_0713,msp_0745,msp_0785,msp_0786,msp_0879,msp_0898,msp_0930,msp_0977,msp_1062,msp_1128,msp_1219,msp_1362,msp_1409,msp_1737,msp_1759
ERS475134_ERS475135	ERS475237	4.76e-01	1.0	msp_0003,msp_0008,msp_0011,msp_0015,msp_0017,msp_0021,msp_0023,msp_0031,msp_0033,msp_0040,msp_0054,msp_0062,msp_0068,msp_0071,msp_0072,msp_0075,msp_0076,msp_0079,msp_0086,msp_0087,msp_0088,msp_0124,msp_0126,msp_0128,msp_0132,msp_0141,msp_0151,msp_0152,msp_0154,msp_0161,msp_0175,msp_0198,msp_0259,msp_0289,msp_0299,msp_0305,msp_0318,msp_0338,msp_0436,msp_0468,msp_0506,msp_0507,msp_0551,msp_0635,msp_0705,msp_0767,msp_0860,msp_0884,msp_0930,msp_0986,msp_1127,msp_1139,msp_1236,msp_1244,msp_1641,msp_1814
