id_mgs	19D9	19D36	19D84	23D67	37D8_dup	37D16	37D39	39D19	39D34	39D38	39D44	39D45	39D55_dup	39D55	39D61	39D64	39D121	39D239	39D362	40D8	40D10	40D17	40D24	40D38	40D60	40D66	40D71	40D97	40D100	40D124	40D225	40D365	41D12	41D13	41D16	41D24	41D30	41D50	41D71	41D73	41D87	41D93	41D96	41D124	41D366	47D33	47D64	47D93	47D121	47D362	47M	57D8	57D14	57D17	57D19	57D20	57D39	57D45	57D48	57D51	57D61	57D72	57D122	57D244	57M	59D8	59D9	59D11	59D23	59D37_dup	59D37	59D38	59D43	59D44	59D52	59D256	59D382	NC2
"msp_0001"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.931380635440911e-9	0	0	0	0	0	7.13147677142627e-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0003"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.700878673763921e-9	0	0	0	0	0	0	0	0	0	4.15192893503306e-8	2.53572467471996e-8	0	0	0	0	3.54251435250729e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0005"	1.23339580927007e-7	0	8.97889336687361e-6	3.74049148873525e-5	1.36766192992189e-8	3.34668429310587e-8	9.44255934145836e-8	2.95901468863875e-8	2.37238088081652e-8	0	0	0	4.85387297484002e-8	2.81936381636627e-8	7.79335320014219e-8	0	2.07417769120086e-6	9.93512129318239e-6	7.04993306077622e-8	1.21738358326434e-7	0	0	0	2.69968475192513e-8	1.68868837863429e-5	1.49623168671415e-5	1.37450908191157e-5	1.81869445297036e-5	2.69805325611835e-5	2.34225220803636e-5	4.25526553046878e-8	6.98606958214149e-8	1.53704505893357e-8	0	1.43188231995347e-6	1.2382007997527e-4	1.1122591599052e-4	1.73974261869226e-8	9.48711383221865e-5	7.48741005069433e-5	6.05222797102823e-5	8.13494695009075e-5	9.65065061472927e-5	5.02400276410466e-5	4.08020114729694e-6	5.67694628500016e-8	8.43384302364075e-5	6.36700710729837e-5	4.58069432643834e-5	2.36879667472668e-6	2.56267883236052e-7	1.01057375049375e-7	0	0	0	5.75771238226445e-8	0	0	0	0	0	0	5.84367084583657e-7	7.33332284932129e-7	2.21039149939314e-7	0	0	0	1.66565200560497e-7	1.75816651466596e-7	2.0308632784044e-7	1.73145302483084e-7	1.65684513195528e-6	1.62707741447874e-6	1.40536556149002e-5	4.16825972338607e-8	1.20653246034727e-6	2.4989464738604e-5
"msp_0007"	0	0	0	0	0	0	0	2.21154387026354e-8	8.29877284806556e-9	0	0	0	5.452239169434171e-9	4.24931825907713e-9	4.04953502284144e-9	0	0	6.368377503447281e-9	0	1.70289269260716e-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.83904222723475e-7	5.1067431757243e-9	0	0	0	0	0	1.37572518623939e-8	0	0	8.00808593073018e-8	9.64194311885685e-9	0	0	3.92009263425427e-5	2.05099709093705e-5	2.26088661046376e-6	5.7453436715195e-6	0	0	0	0	2.42198640847106e-8	0	0	0	0	0	0	0	2.06310565805466e-5	0	0	0	0	0	0	0	0	0	0	0	0	7.73535186124037e-7
"msp_0008"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0009"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.54037734110092e-7	1.38262739675678e-7	0	0	0	0	0	0	0	0	0	0	0	3.39343684894081e-7	1.48196763969724e-6	0	0	3.8624262069251605e-9	0	0	0	0	0	2.4604092675655e-8	0	0	0	6.98939816356483e-8	0	0	0	0	4.60992692427641e-7	7.6113089074594e-8	6.42899160423653e-8	0	0	0	0	0	0	0	0	0	0	8.36224207819562e-7	2.64743112481118e-7	1.02480208736485e-7	0	0	0	0	0	0	0	0	0	0	7.44355771858647e-9	5.79758292952119e-7	0
"msp_0010"	0	0	0	0	0	0	0	3.3020870163139e-9	0	0	0	0	0	0	0	0	0	0	0	2.81952909012967e-9	0	0	0	2.60731300337677e-8	0	0	0	0	0	0	1.87884350238259e-6	9.75264048171754e-6	1.23524556754229e-8	0	2.2082402348036e-8	0	0	0	0	0	4.01841998942313e-6	0	0	0	8.08072691571079e-9	0	0	0	1.11727348801563e-8	0	3.06680377909415e-7	1.45921380609803e-6	1.8757348440706403e-9	0	0	0	3.2100292844581305e-9	0	0	0	0	0	1.0940573528878e-4	1.4404369786326e-4	2.52910509690393e-6	0	0	0	0	8.488281949811341e-10	0	0	0	0	0	0	5.19690345130758e-7	7.08662626630249e-7
"msp_0011"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.53889052382344e-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2551306162196e-8	0	0	0	0	0	0	0	0	0	7.38307046486624e-8	2.61509280308283e-8	0	0	0	0	3.26730056902082e-6	5.44274016350083e-7	0	0	0	0	3.80239467252756e-9	0	0	0	0	0	0	0	2.0625835110135e-6	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0012"	0	0	0	0	0	0	0	1.84655027913983e-8	5.5641853815311304e-9	0	0	0	3.2594727416350303e-9	0	0	0	0	3.77062501949478e-9	0	1.36731833390058e-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.7836092969947e-8	0	0	0	0	0	1.76239788389408e-6	6.92840799833661e-9	0	0	0	0	0	0	8.744968172385541e-9	4.218302665455831e-9	0	4.57346412513243e-6	0	0	0	0	2.3446313026937e-8	0	0	0	0	0	5.04345090656874e-5	5.979639480435481e-9	1.61548369341164e-5	0	0	0	0	0	0	0	0	0	0	0	0	6.68264827700009e-7
"msp_0013"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.16011719824893e-6	0	0	0	0	0	0	0	0	0	0	0	0	2.06162451089029e-8	0	0	0	0	7.80538656803119e-7	8.0549836509251e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0014"	0	0	4.99372618633837e-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.38767851830982e-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.76688360045631e-7	0	0	0	0	0	4.77895945928498e-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.7429773743082e-8	5.946174848899881e-9	0
"msp_0015"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.50756527371425e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	9.30181936021955e-9	0	0	0	0	0	1.31642287443831e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.59488117832245e-8	0	0	0	0	0	0	0	3.66829295679448e-6	0	0
"msp_0016"	0	0	0	0	0	0	0	3.1779837911610203e-9	9.597072051199531e-9	0	0	1.28671133457332e-8	5.61806033404592e-8	4.6361724841023e-8	2.9216458163865e-8	0	2.90221602854767e-8	7.97054577900197e-8	4.87804045751819e-5	1.6449080854643e-7	1.38407580766902e-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.38603869415556e-9	0	0	0	0	0	0	4.38560899582339e-6
"msp_0017"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.73673872561266e-7	0	0	0	4.352985861979731e-9	0	0	0	0	0	0	0	0	0	9.40776751971504e-8	7.25367454676547e-9	0	0	0	0	1.32285227754474e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.77300211171279e-8	0	0	0	0	0	0	0	6.29956619088902e-6	1.65842065320097e-8	0
