id_mgs	40D89	40M	58D7	58D13	58D22	58D28	58D36	58D43	58D47	58D52	58D63	58D72	58D144	58D256	58D382	58M	60D8	60D13	60D19	60D22	60D31	60D38	60D43	60D52	60D57	60D144	60D256	60D382	63D9	63D17	63D23	63D29	63D40	63D52	63D61	63D126	63D250	63D368	68D32	68D63	68D90	68D122	68D243	68D368	68M	69D4	69D15	69D24	69D33	69D36	69D49	69D51	69D61	69D73	69D115	69D242	69D375	69M	72D6	72D11	72D17	72D25	72D32	72D39	72D48	72D57	72D63	72D123	72D243	72D362	72M	79D29	79D62	79D88	79D127	79D234	79D363	79M	82D33	82D90	82D121	82D243	82D361	82M	83D38	83D59	83D88	83D119	83D239	83D366	NC3
"msp_0001"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.14496940114656e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.49795647527485e-9
"msp_0003"	0	1.13996595047665e-5	0	0	0	1.85360518214416e-9	0	0	0	0	0	2.50454222177934e-9	0	0	0	0	0	0	0	0	0	2.1831983335261703e-9	0	0	0	0	0	0	1.46424738320029e-6	0	0	0	0	0	0	0	2.99123880565992e-6	7.52414345299329e-7	0	0	0	0	0	8.91641884965388e-9	0	0	0	0	0	0	2.3986509754582404e-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.78450407804616e-7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7713499045354304e-9
"msp_0005"	3.80062120648804e-5	4.1242353005037e-6	8.281049949330331e-9	0	0	8.8812245124269e-8	4.18414780607512e-8	0	0	0	1.53328895299199e-7	2.69640764978373e-5	2.99540939756961e-6	4.88463450140513e-6	7.79015587091454e-5	4.76631043972841e-9	7.1657614659564e-8	9.06050341952121e-8	1.23383753718923e-7	1.88072846087536e-7	1.23010597893126e-7	1.22323375602219e-7	6.96465693025885e-7	6.96607437578826e-6	6.39367128495336e-6	2.6414450480353e-6	2.93450984006373e-6	4.75105515021681e-5	6.58962514623993e-7	3.05173867148397e-7	4.59065632284299e-7	1.31457183554548e-7	1.33007721266816e-7	2.18927527133234e-8	2.97455126300307e-8	4.64277093387939e-6	3.8005832942035905e-9	9.87895808568662e-7	0	0	0	0	2.99620314797493e-6	8.70646224940851e-8	0	7.03330249241022e-6	1.76939247588773e-5	5.30186813488377e-5	6.40180583081648e-5	6.39339536616241e-5	2.75388532364577e-5	1.0902204844829e-5	7.97995205334008e-6	3.20646753681801e-6	6.88948345841918e-6	2.10553816376384e-7	2.90585292848059e-6	5.11218342307385e-7	1.3795045654618e-4	1.4379937666881e-4	1.4108684905554e-4	1.3982065282144e-4	1.0467226835743e-4	1.29314719427e-4	1.1585989068822e-4	1.239227354888e-4	6.5625377249276e-5	2.5413267020501e-5	1.10883618969182e-5	1.31340056855129e-6	3.3354144248298803e-9	0	2.37334587279131e-9	1.63283094207665e-9	5.91002977825546e-7	7.14263512522285e-7	3.73426845909175e-7	4.51603794880513e-9	2.25234603781566e-6	2.14062944375987e-6	1.07812258981644e-6	7.00797701227978e-6	5.49001248025318e-8	2.9120330414648e-6	7.43147278827403e-6	3.2909204238097e-6	1.70501050749594e-6	4.58174618846555e-6	6.87809141532961e-6	1.31344602444746e-7	5.10923246922721e-6
"msp_0007"	0	0	1.12129373074792e-8	0	0	6.7054855223932305e-9	0	0	0	0	0	1.29651426144567e-8	0	0	0	0	0	0	0	0	0	2.13713933378355e-8	0	0	0	0	5.647030794745141e-9	0	7.58779757064244e-6	0	4.20484820050701e-9	0	6.04594331330297e-9	0	0	4.00592250670251e-7	1.46427303397455e-5	1.6774255594645e-5	4.80026069848188e-5	1.51202263656865e-5	2.0658480049918e-5	6.05314837127519e-6	1.17662104171906e-5	4.18895661574481e-5	8.23945572551199e-7	0	0	0	0	0	9.89128786265455e-9	0	0	0	9.510345896776331e-9	0	0	4.58502658025754e-6	0	0	6.0107637094227e-8	0	0	0	0	0	2.0896612175814302e-9	7.32054506464043e-8	0	0	1.2312534550303e-7	0	0	2.58542919187079e-8	2.18580159200461e-8	0	2.84525162063096e-8	4.92958760407259e-8	1.94240796611885e-6	5.25593435324388e-6	5.81739671585677e-6	9.20803119185566e-6	6.09929298501418e-6	2.6894887592405e-6	4.88880802689353e-9	0	0	0	0	0	1.48515271673061e-6
"msp_0008"	0	2.40978613082344e-8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.0062273033057e-6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.50867551087917e-9	0	0	0	0	0	0	4.66151972782576e-9	0	0	1.26748862166625e-7	0	0	0	0	0	0	0	0	0	6.1047388885419e-9	5.65808653222783e-7	3.10426911895757e-6	1.50174544614724e-6	0	0	0	0	0	0	3.80054099741072e-7
"msp_0009"	0	7.43301101642049e-8	5.80251124480564e-9	0	0	0	0	0	0	0	0	0	1.51382251467442e-7	5.59327910217506e-8	7.69289419910104e-8	3.8432770977399605e-9	0	1.67643738682653e-9	0	0	0	0	0	0	0	1.48082697793955e-7	5.49232654652151e-7	1.48483981901691e-7	1.16273286226571e-8	0	0	0	0	0	0	0	0	8.63649381825825e-8	0	0	0	0	0	0	5.46134387245098e-9	0	0	0	0	0	0	0	0	0	0	2.79342681172258e-7	6.42726793874054e-7	1.71928582781756e-7	2.74074449844075e-9	0	0	0	0	0	3.10009301663425e-8	0	0	2.08913079028879e-9	0	0	0	3.87961520060004e-6	7.18234732517095e-6	1.51896857364674e-6	4.53170301601873e-8	2.28051949091517e-7	1.77087045211158e-8	1.30103549019285e-7	5.69584947238836e-8	1.1444535513379e-7	5.82590253080773e-8	3.33395482969278e-7	1.84680894659662e-7	1.1447167989573e-7	0	0	0	0	2.76941243628463e-7	4.6802188672910905e-9	1.08635113912987e-7
"msp_0010"	0	0	1.05040630473051e-8	0	0	0	0	0	0	0	0	0	0	0	1.13832862274991e-7	1.5086545030841e-8	0	0	0	0	0	3.47318072958639e-9	0	2.38934058982475e-9	8.26244176547738e-10	0	2.69407290654936e-9	8.21033719610447e-8	1.33722741545792e-8	0	0	0	7.2118227808138105e-9	1.25975182374889e-9	2.4185025407351204e-9	2.13016973518748e-6	2.47795610729174e-8	0	4.49347790316459e-5	1.2831875964684e-4	1.2392983396696e-4	1.3765441217038e-4	1.2221904557796e-4	7.43044335219246e-5	9.01175664779384e-6	3.31114491662851e-7	1.4975662882057202e-9	0	3.78208564917391e-8	6.302815650361031e-9	1.39764788267847e-8	1.01539438997889e-9	0	0	3.54416869059883e-8	1.7402026995044902e-9	1.84381839712116e-6	0	1.2464961583621e-7	1.5313720126854e-9	8.39836948871467e-8	0	3.4138042781637e-9	0	2.04826527213178e-7	2.68038316294334e-8	0	1.18056557738822e-7	0	0	9.21524861499937e-8	6.46451427787802e-5	1.0641011671383e-4	8.9348423974213e-5	2.95973658616309e-5	3.15872677594981e-5	2.09133117684795e-5	4.99897139619217e-7	3.18167842735244e-5	2.93344281012788e-5	9.97753397460773e-5	1.31260943579862e-5	1.13671450697596e-5	4.9471240642318e-6	1.00339520802895e-8	4.9768064079115905e-9	3.55080738358002e-8	2.6677553977764e-8	1.68965520433569e-5	2.26631547867333e-6	5.547923752428e-6
"msp_0011"	0	3.50455618282434e-7	2.69766900420982e-8	0	0	0	0	0	0	0	0	0	0	0	0	3.31487818175938e-8	0	0	0	0	0	0	0	0	0	0	0	0	6.1102468061247404e-9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.79642964470897e-7	0	0	0	0	0	1.8383538821732701e-9	0	0	0	0	0	0	0	5.5697908823574e-9	0	1.31909906460088e-7	0	1.53390717551124e-9	0	2.11335840431336e-8	6.70586876053077e-9	0	1.80381052962746e-7	0	3.6803054322616204e-9	3.99951113362511e-7	1.16521135207616e-5	0	3.32734154218574e-6	2.6545262798559e-6	1.95206922417772e-5	7.13320802812737e-6	4.69979375915235e-6	0	1.10218014738345e-8	0	2.1091834489272e-5	6.95788609561742e-6	1.51683439552736e-7	5.04588398982045e-9	0	0	0	0	0	2.80492995009018e-6
"msp_0012"	0	0	1.5648056910924e-6	0	0	5.23507888738471e-9	0	0	0	0	0	6.28779560454363e-9	0	0	0	2.05781113895591e-6	0	0	0	0	0	1.13256411550305e-8	0	0	0	0	0	0	3.03489383953794e-6	0	2.13079759232985e-9	0	0	1.99059469313314e-9	0	5.46420081779078e-8	5.45075151319664e-6	5.15357732823879e-6	0	0	0	0	0	2.11457969362461e-8	4.36777085751307e-6	0	0	0	0	0	7.55808331356098e-9	0	0	0	8.46144412277205e-9	4.73430268774331e-9	0	4.79813909763399e-6	4.26893608581596e-8	0	5.73621475134041e-8	0	0	0	5.9759459187959e-9	5.459411529413441e-9	0	7.8745748497823e-8	0	0	8.28478440753139e-7	6.11107760089611e-6	1.82368852443442e-7	2.38357693452964e-5	3.85345748606035e-6	8.47884345720431e-6	6.98388769662938e-6	1.69770254789014e-8	7.36956221690637e-5	3.31339760773295e-5	2.34845896288084e-5	9.34327149058626e-6	4.82920239683285e-6	2.14569544255685e-6	7.14290031033349e-5	8.75176268862662e-5	1.0923321922679e-4	9.13820326559179e-5	4.98179399724238e-5	1.06029258788827e-5	6.70100297889971e-5
