id_mgs	MQB_005	MQB_014	MQB_023	MQB_032	MQB_041	MQB_059	MQB_068	MQB_086	MQB_095	MQB_005_l2	MQB_014_l3	MQB_023_l2	MQB_032_l2	MQB_059_l2	MQB_068_l2	MQB_086_l2	MQB_095_l2
"msp_0001"	0.0013888993615446472	0	0	0	0	2.9666150235940997e-4	0	0	0	0.001401652008321099	0	0	0	2.9834320214255775e-4	0	1.675532160037918e-5	0
"msp_0002"	0	0	0	0	0.004210650794109265	0	0	0	0	0	0	7.499768498381053e-5	0	0	0	0	0
"msp_0003"	0.005372968148687905	0	0.0022328429138061714	0.0025680932648365663	0.0025863883944481367	1.293770212139328e-4	1.8249998714613998e-4	2.0936717928794224e-5	0	0.00513577038930064	1.5727604074487955e-5	0.0021493607186818275	0.0023233935010082258	2.145581794131405e-4	1.729946634023372e-4	9.370928910476183e-5	2.7580440311641233e-5
"msp_0004"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"msp_0005"	0.0013310773239501416	9.504269254048684e-4	0	4.393585441185763e-4	0.0026222930400488834	1.6607614812655513e-4	0.0018900043734736756	8.962577370458729e-5	1.5955272493613237e-4	0.0013401376267757677	9.034851111227197e-4	4.4363637334935704e-5	4.088239992792911e-4	1.7469845526382413e-4	0.0019235461027278691	1.1623797980444476e-4	3.981786302487068e-4
"msp_0006"	0	0	0	0	0	0	4.845210069819551e-4	0	0	0	0	0	0	0	5.30663748621841e-4	0	5.794889556137593e-5
"msp_0007"	0.002960724624034764	0.0034495201405125133	0.018889064988406052	0.0022886105583823746	2.0624631198443264e-4	4.781898151641245e-4	0.004837468481188942	0.003355713693937923	2.718596220360837e-4	0.003111264532161871	0.003425221617082855	0.017740161934388248	0.0039833268095793755	4.4628177249179366e-4	0.004680733335965976	0.0033512499649911076	8.926018348183697e-4
"msp_0008"	0.004683260822644481	0	0	0	0	0	0	7.859315225350481e-4	0	0.004288515688186864	0	0	0	7.451977515756732e-5	0	8.077826197962491e-4	0
"msp_0009"	6.584231611539417e-5	3.0044753352046367e-4	8.583541050778183e-5	0	0	0	0	1.9573023777873724e-5	1.2290975977102004e-4	5.0881497938563194e-5	3.132330096092701e-4	1.0376611782255038e-4	2.5596039615325513e-5	0	9.602113100063134e-6	2.1365215029150203e-5	9.71609791246246e-5
"msp_0010"	0	0	0	3.077449601544928e-4	5.4129365549766275e-5	0	5.302686443688306e-5	0.001575386512044704	1.7617166687367898e-4	6.184418982696405e-6	0	1.0596902549812477e-5	2.739817880851663e-4	7.355210108544806e-6	4.1264324243243295e-5	0.0014683184355976145	1.3812274504374885e-4
"msp_0011"	0.0026967599462327132	0	0.0028739103387123814	0.0025718539371654605	9.594075335775221e-4	4.66067035301336e-5	8.788574278143276e-4	0.0015674679124538435	0.0028072971234621136	0.002526436898777417	1.173548724900719e-5	0.002859884017339717	0.002506150175935345	9.106860044818079e-5	7.743591226834939e-4	0.001403753737638019	0.002703918278548249
"msp_0012"	0.00238262478290779	0.008458597865074009	0.001751275593227163	0.0011535798475382	0.0050316924491249386	0.002031436599195238	0.003060257160207151	0.011826223620049982	0.0033338551663323825	0.0023934904696789	0.008534282191604332	0.0016263736074494301	0.0011535978040199337	0.001984436891835122	0.0028337357040627204	0.011576137020266969	0.0032630858925568095
"msp_0013"	0.001651456595743198	0	0.052702919812045654	0.028757446195519586	0	0.0013985704575725292	0.0047644908778654155	0	0.016931076385772358	0.0015829193745410318	6.311200101699163e-5	0.051238694461408746	0.0307442299207677	0.0013789544734420214	0.004656449774728792	2.0927554228513545e-5	0.015484986265022224
