# crocodeel version: 1.2.1 | rf_model: crocodeel_rf_Feb2026_2.joblib | hostname: ggautreau | username: ggautreau | datetime: 2026-05-01T12:42:07 | species_ab_table: species_abundance.tsv | filtering_ab_thr_factor: None | probability_cutoff: 0.5 | rate_cutoff: 0.0
source	target	rate	probability	contamination_specific_species
MQB_023	MQB_023_l2	9.25e-01	1.0	msp_0003,msp_0007,msp_0011,msp_0012,msp_0013,msp_0017,msp_0023,msp_0027,msp_0029,msp_0035,msp_0040,msp_0046,msp_0050,msp_0055,msp_0059,msp_0062,msp_0065,msp_0068,msp_0069,msp_0071,msp_0072,msp_0076,msp_0079,msp_0107,msp_0125,msp_0131,msp_0146c,msp_0154,msp_0163,msp_0188,msp_0194,msp_0208,msp_0227,msp_0230,msp_0243,msp_0249,msp_0258,msp_0271,msp_0307,msp_0308,msp_0346,msp_0360,msp_0364,msp_0378,msp_0403,msp_0436,msp_0440,msp_0468,msp_0478,msp_0506,msp_0509,msp_0554,msp_0572,msp_0604,msp_0621,msp_0630,msp_0655,msp_0820,msp_0916,msp_0930,msp_0986,msp_1038,msp_1143,msp_1339,msp_1385,msp_1443,msp_1530c,msp_1641
MQB_086	MQB_086_l2	9.24e-01	1.0	msp_0007,msp_0010,msp_0011,msp_0012,msp_0015,msp_0021,msp_0023,msp_0027,msp_0035,msp_0036,msp_0045,msp_0046,msp_0050,msp_0058,msp_0059,msp_0065,msp_0066,msp_0068,msp_0069,msp_0070,msp_0071,msp_0072,msp_0076,msp_0081,msp_0087,msp_0103,msp_0105,msp_0124,msp_0125,msp_0131,msp_0140,msp_0141,msp_0151,msp_0152,msp_0154,msp_0162,msp_0164,msp_0175,msp_0189,msp_0203,msp_0208,msp_0236,msp_0250,msp_0254,msp_0258,msp_0259,msp_0271,msp_0285,msp_0296,msp_0299,msp_0307,msp_0346,msp_0362,msp_0370,msp_0422,msp_0468,msp_0471,msp_0472,msp_0486,msp_0500,msp_0506,msp_0510,msp_0530,msp_0545,msp_0563,msp_0572,msp_0591,msp_0654,msp_0655,msp_0675,msp_0698,msp_0733,msp_0737,msp_0742,msp_0766,msp_0780,msp_0828,msp_0840,msp_0847,msp_0861,msp_0898,msp_0908,msp_0949,msp_0974c,msp_1076,msp_1131,msp_1171,msp_1291,msp_1329,msp_1349,msp_1533,msp_1541,msp_1556,msp_1558,msp_1641
MQB_014	MQB_014_l3	9.23e-01	1.0	msp_0005,msp_0007,msp_0019,msp_0020,msp_0022,msp_0023,msp_0031,msp_0036,msp_0037,msp_0040,msp_0046,msp_0050,msp_0056,msp_0063,msp_0066,msp_0068,msp_0075,msp_0087,msp_0107,msp_0110,msp_0112,msp_0126,msp_0128,msp_0142,msp_0151,msp_0162,msp_0166,msp_0202,msp_0204,msp_0254,msp_0259,msp_0320,msp_0346,msp_0357,msp_0360,msp_0380,msp_0388,msp_0389,msp_0391,msp_0425,msp_0457,msp_0478,msp_0489,msp_0510,msp_0522,msp_0572,msp_0573,msp_0621,msp_0634,msp_0650,msp_0690,msp_0767,msp_0769,msp_0791,msp_0833,msp_0893,msp_0908,msp_1153,msp_1173c,msp_1264c,msp_1279,msp_1381,msp_1558,msp_1649,msp_1724,msp_1777,msp_1854
MQB_005	MQB_005_l2	9.20e-01	1.0	msp_0003,msp_0008,msp_0011,msp_0013,msp_0015,msp_0017,msp_0019,msp_0021,msp_0023,msp_0027,msp_0029,msp_0035,msp_0039,msp_0040,msp_0042,msp_0046,msp_0048,msp_0055,msp_0057,msp_0059,msp_0060,msp_0063,msp_0064,msp_0068,msp_0069,msp_0071,msp_0073,msp_0074,msp_0075,msp_0076,msp_0079,msp_0093,msp_0106,msp_0113,msp_0114,msp_0127,msp_0128,msp_0133,msp_0134,msp_0141,msp_0148c,msp_0158,msp_0194,msp_0227,msp_0244,msp_0249,msp_0259,msp_0271,msp_0272,msp_0287,msp_0291,msp_0295,msp_0296,msp_0307,msp_0313,msp_0314,msp_0318,msp_0325,msp_0340,msp_0360,msp_0373,msp_0389,msp_0412,msp_0414,msp_0426,msp_0436,msp_0448,msp_0463,msp_0468,msp_0473c,msp_0481,msp_0493,msp_0506,msp_0507,msp_0526,msp_0542,msp_0558,msp_0561,msp_0572,msp_0573,msp_0591,msp_0595,msp_0604,msp_0652,msp_0654,msp_0655,msp_0668,msp_0692,msp_0697,msp_0716,msp_0722,msp_0760,msp_0779,msp_0780,msp_0798,msp_0808,msp_0810,msp_0861,msp_0886,msp_0887,msp_0930,msp_0986,msp_1012,msp_1038,msp_1042,msp_1094,msp_1143,msp_1157,msp_1236,msp_1307,msp_1312,msp_1315,msp_1328,msp_1349,msp_1385,msp_1404,msp_1410,msp_1492,msp_1541,msp_1589,msp_1592,msp_1641,msp_1643c,msp_1724,msp_1760
MQB_068	MQB_068_l2	9.16e-01	1.0	msp_0003,msp_0007,msp_0011,msp_0012,msp_0013,msp_0015,msp_0017,msp_0019,msp_0021,msp_0022,msp_0023,msp_0027,msp_0028,msp_0029,msp_0031,msp_0035,msp_0036,msp_0040,msp_0042,msp_0043,msp_0044,msp_0046,msp_0048,msp_0055,msp_0057,msp_0059,msp_0062,msp_0065,msp_0068,msp_0069,msp_0071,msp_0072,msp_0074,msp_0076,msp_0077,msp_0079,msp_0093,msp_0117,msp_0125,msp_0127,msp_0128,msp_0131,msp_0133,msp_0141,msp_0142,msp_0145,msp_0152,msp_0154,msp_0173,msp_0175,msp_0188,msp_0189,msp_0194,msp_0211,msp_0222,msp_0227,msp_0236,msp_0244,msp_0249,msp_0259,msp_0299,msp_0307,msp_0337,msp_0362,msp_0380,msp_0401,msp_0405,msp_0422,msp_0430,msp_0432,msp_0436,msp_0442,msp_0468,msp_0473c,msp_0489,msp_0506,msp_0541,msp_0542,msp_0562,msp_0565,msp_0572,msp_0573,msp_0578,msp_0585,msp_0591,msp_0622,msp_0623,msp_0652,msp_0655,msp_0679,msp_0709,msp_0713,msp_0722,msp_0735,msp_0742,msp_0753,msp_0757,msp_0766,msp_0779,msp_0780,msp_0820,msp_0833,msp_0884,msp_0898,msp_0907,msp_0908,msp_0947,msp_0955,msp_0979,msp_0986,msp_1022,msp_1038,msp_1122,msp_1139,msp_1173c,msp_1185,msp_1236,msp_1238,msp_1291,msp_1307,msp_1329,msp_1343,msp_1351,msp_1381,msp_1385,msp_1403,msp_1413,msp_1418c,msp_1453,msp_1527,msp_1538,msp_1543,msp_1556,msp_1599,msp_1641,msp_1927
MQB_059	MQB_059_l2	9.07e-01	1.0	msp_0007,msp_0012,msp_0013,msp_0017,msp_0023,msp_0025,msp_0026,msp_0027,msp_0028,msp_0029,msp_0031,msp_0036,msp_0038,msp_0039,msp_0041,msp_0054,msp_0055,msp_0057,msp_0060,msp_0062,msp_0067,msp_0068,msp_0071,msp_0079,msp_0084,msp_0087,msp_0088,msp_0091,msp_0093,msp_0105,msp_0106,msp_0116,msp_0117,msp_0120,msp_0128,msp_0142,msp_0151,msp_0159,msp_0164,msp_0168,msp_0169,msp_0172,msp_0173,msp_0178,msp_0191,msp_0199,msp_0206,msp_0207,msp_0221,msp_0223,msp_0224,msp_0227,msp_0229,msp_0239,msp_0243,msp_0250,msp_0277,msp_0281,msp_0288,msp_0298,msp_0299,msp_0307,msp_0314,msp_0320,msp_0346,msp_0348,msp_0361,msp_0367,msp_0373,msp_0383,msp_0392,msp_0398,msp_0412,msp_0418,msp_0442,msp_0450,msp_0457,msp_0465,msp_0478,msp_0504,msp_0512,msp_0527,msp_0532,msp_0534,msp_0547,msp_0552,msp_0554,msp_0561,msp_0585,msp_0619,msp_0630,msp_0635,msp_0639,msp_0655,msp_0675,msp_0679,msp_0685,msp_0686,msp_0688,msp_0698,msp_0703,msp_0766,msp_0776,msp_0779,msp_0781,msp_0787,msp_0800,msp_0818,msp_0820,msp_0821,msp_0850,msp_0858,msp_0861,msp_0899,msp_0908,msp_0911,msp_0938,msp_0945,msp_0951,msp_0959,msp_0970,msp_0990,msp_0993,msp_0996,msp_1011,msp_1032,msp_1066,msp_1068,msp_1069,msp_1074,msp_1078,msp_1094,msp_1138,msp_1142,msp_1153,msp_1155,msp_1160,msp_1166,msp_1175,msp_1177,msp_1189,msp_1225,msp_1236,msp_1258,msp_1270,msp_1291,msp_1311,msp_1312,msp_1323,msp_1328,msp_1347c,msp_1410,msp_1428,msp_1452,msp_1455,msp_1467,msp_1492,msp_1533,msp_1584,msp_1589,msp_1596,msp_1622,msp_1643c,msp_1693
MQB_005_l2	MQB_005	9.01e-01	1.0	msp_0001,msp_0005,msp_0007,msp_0012,msp_0022,msp_0025,msp_0032,msp_0034,msp_0045,msp_0047,msp_0050,msp_0053,msp_0058,msp_0062,msp_0072,msp_0090,msp_0107,msp_0110,msp_0124,msp_0125,msp_0126,msp_0131,msp_0138,msp_0139,msp_0145,msp_0151,msp_0152,msp_0154,msp_0160,msp_0166,msp_0168,msp_0172,msp_0188,msp_0192,msp_0196,msp_0198,msp_0202,msp_0205,msp_0207,msp_0208,msp_0213,msp_0220,msp_0225,msp_0237,msp_0238,msp_0258,msp_0297,msp_0301,msp_0302,msp_0303,msp_0317,msp_0324,msp_0331,msp_0346,msp_0352,msp_0356,msp_0362,msp_0374,msp_0378,msp_0380,msp_0388,msp_0396,msp_0397,msp_0398,msp_0404,msp_0407,msp_0411,msp_0417,msp_0419,msp_0422,msp_0424,msp_0442,msp_0445,msp_0454,msp_0464,msp_0471,msp_0477,msp_0478,msp_0484,msp_0486,msp_0490,msp_0522,msp_0530,msp_0545,msp_0546,msp_0551,msp_0563,msp_0584,msp_0585,msp_0586,msp_0592,msp_0596,msp_0622,msp_0630,msp_0632,msp_0636,msp_0640,msp_0643,msp_0647,msp_0665,msp_0698,msp_0723,msp_0733,msp_0742,msp_0763,msp_0769,msp_0777,msp_0820,msp_0824,msp_0833,msp_0874,msp_0881,msp_0893,msp_0898,msp_0903,msp_0906,msp_0916,msp_0917,msp_0931,msp_0943,msp_0947,msp_0976,msp_0977,msp_1009,msp_1021,msp_1022,msp_1032,msp_1060c,msp_1090,msp_1114,msp_1139,msp_1140,msp_1171,msp_1173c,msp_1219,msp_1235,msp_1244,msp_1260,msp_1279,msp_1290,msp_1291,msp_1302,msp_1308,msp_1313,msp_1323,msp_1339,msp_1347c,msp_1356,msp_1381,msp_1403,msp_1428,msp_1439,msp_1444,msp_1490,msp_1556,msp_1584,msp_1608c,msp_1652,msp_1862
MQB_014_l3	MQB_014	8.97e-01	1.0	msp_0009,msp_0012,msp_0016,msp_0017,msp_0018,msp_0021,msp_0026,msp_0027,msp_0029,msp_0032,msp_0052,msp_0058,msp_0059,msp_0062,msp_0065,msp_0069,msp_0071,msp_0072,msp_0076,msp_0079,msp_0090,msp_0092,msp_0103,msp_0113,msp_0124,msp_0129,msp_0141,msp_0145,msp_0147,msp_0154,msp_0172,msp_0182,msp_0188,msp_0196,msp_0208,msp_0213,msp_0225,msp_0232,msp_0249,msp_0263,msp_0268,msp_0287,msp_0291,msp_0301,msp_0307,msp_0331,msp_0374,msp_0378,msp_0396,msp_0402,msp_0403,msp_0407,msp_0422,msp_0436,msp_0456,msp_0468,msp_0484,msp_0506,msp_0542,msp_0558,msp_0584,msp_0591,msp_0604,msp_0623,msp_0655,msp_0698,msp_0713,msp_0722,msp_0742,msp_0745,msp_0780,msp_0848,msp_0852,msp_0898,msp_0930,msp_0977,msp_1009,msp_1017,msp_1244,msp_1323,msp_1339,msp_1356,msp_1556,msp_1776c
MQB_059_l2	MQB_059	8.90e-01	0.51	msp_0001,msp_0005,msp_0015,msp_0021,msp_0032,msp_0034,msp_0035,msp_0037,msp_0045,msp_0046,msp_0048,msp_0050,msp_0053,msp_0065,msp_0069,msp_0072,msp_0073,msp_0074,msp_0075,msp_0076,msp_0089,msp_0092,msp_0095,msp_0107,msp_0124,msp_0125,msp_0126,msp_0144,msp_0152,msp_0154,msp_0160,msp_0166,msp_0192,msp_0194,msp_0196,msp_0203,msp_0205,msp_0208,msp_0213,msp_0218,msp_0222,msp_0225,msp_0226,msp_0236,msp_0237,msp_0249,msp_0258,msp_0259,msp_0263,msp_0265,msp_0271,msp_0280,msp_0291,msp_0296,msp_0301,msp_0302,msp_0306,msp_0312,msp_0319,msp_0331,msp_0354,msp_0356,msp_0369,msp_0374,msp_0380,msp_0381,msp_0388,msp_0389,msp_0391,msp_0404,msp_0422,msp_0424,msp_0430,msp_0436,msp_0456,msp_0462,msp_0467,msp_0473c,msp_0477,msp_0480,msp_0484,msp_0486,msp_0490,msp_0500,msp_0503,msp_0506,msp_0513,msp_0516,msp_0521,msp_0546,msp_0553,msp_0563,msp_0572,msp_0591,msp_0592,msp_0594,msp_0596,msp_0622,msp_0645,msp_0648,msp_0650,msp_0652,msp_0654,msp_0665,msp_0673,msp_0683,msp_0697,msp_0699,msp_0722,msp_0723,msp_0732,msp_0733,msp_0748,msp_0760,msp_0761,msp_0763,msp_0773,msp_0777,msp_0780,msp_0794,msp_0808,msp_0833,msp_0841,msp_0879,msp_0893,msp_0895,msp_0898,msp_0903,msp_0906,msp_0917,msp_0930,msp_0932,msp_0942,msp_0943,msp_0950c,msp_0967,msp_0976,msp_0977,msp_0986,msp_1009,msp_1012,msp_1021,msp_1022,msp_1047,msp_1060c,msp_1061c,msp_1062,msp_1087,msp_1090,msp_1095,msp_1100,msp_1111,msp_1114,msp_1143,msp_1171,msp_1173c,msp_1180,msp_1230,msp_1238,msp_1244,msp_1256,msp_1276,msp_1302,msp_1349,msp_1356,msp_1403,msp_1421,msp_1440,msp_1461,msp_1465,msp_1531c,msp_1556,msp_1564,msp_1605,msp_1641,msp_1644,msp_1723,msp_1814,msp_1888
MQB_032	MQB_032_l2	8.78e-01	1.0	msp_0003,msp_0005,msp_0010,msp_0011,msp_0015,msp_0016,msp_0017,msp_0023,msp_0025,msp_0027,msp_0042,msp_0045,msp_0046,msp_0048,msp_0053,msp_0054,msp_0055,msp_0059,msp_0060,msp_0062,msp_0065,msp_0069,msp_0071,msp_0072,msp_0075,msp_0087,msp_0090,msp_0092,msp_0093,msp_0105,msp_0106,msp_0112,msp_0121,msp_0124,msp_0125,msp_0128,msp_0129,msp_0132,msp_0139,msp_0142,msp_0144,msp_0148c,msp_0151,msp_0159,msp_0161,msp_0172,msp_0173,msp_0175,msp_0177,msp_0194,msp_0196,msp_0198,msp_0206,msp_0208,msp_0211,msp_0212,msp_0227,msp_0236,msp_0237,msp_0238,msp_0259,msp_0265,msp_0285,msp_0291,msp_0296,msp_0299,msp_0303,msp_0308,msp_0312,msp_0313,msp_0318,msp_0335,msp_0347,msp_0355,msp_0391,msp_0399,msp_0404,msp_0405,msp_0407,msp_0408,msp_0412,msp_0423,msp_0430,msp_0435,msp_0442,msp_0450,msp_0456,msp_0462,msp_0471,msp_0480,msp_0486,msp_0497,msp_0500,msp_0521,msp_0537,msp_0545,msp_0546,msp_0552,msp_0555,msp_0561,msp_0563,msp_0565,msp_0570,msp_0583,msp_0586,msp_0591,msp_0613,msp_0622,msp_0629,msp_0630,msp_0631,msp_0670,msp_0679,msp_0692,msp_0697,msp_0698,msp_0707,msp_0722,msp_0732,msp_0742,msp_0760,msp_0766,msp_0781,msp_0793,msp_0833,msp_0840,msp_0847,msp_0860,msp_0874,msp_0881,msp_0884,msp_0903,msp_0908,msp_0931,msp_0945,msp_0959,msp_0977,msp_0979,msp_1012,msp_1021,msp_1032,msp_1060c,msp_1062,msp_1076,msp_1078,msp_1131,msp_1159,msp_1172,msp_1217,msp_1219,msp_1238,msp_1305,msp_1315,msp_1342,msp_1349,msp_1356,msp_1378,msp_1403,msp_1410,msp_1473c,msp_1492,msp_1510c,msp_1515,msp_1533,msp_1567,msp_1599,msp_1609c,msp_1643c,msp_1649,msp_1887,msp_1975
